Date,Economic Policy Uncertainty,Monetary policy,Government spending,National security,Financial Regulation,"Sovereign debt, currency crises"
2/1/2013,130.5416213,77.29902954,345.2546054,105.8011907,200.1595642,138.3456744
3/1/2013,127.9070712,74.67810942,261.0723944,67.23209663,76.0951694,243.1560346
4/1/2013,77.20171117,34.01666527,72.65252179,38.55953583,47.96109875,28.38071472
5/1/2013,71.64556253,35.08108827,53.42949359,31.16085322,37.286633,27.58019837
6/1/2013,77.76306849,55.33706099,57.1085912,36.72621661,89.5488321,38.21396086
7/1/2013,86.72034179,51.4595493,71.34920256,91.14583363,153.3599472,15.46873293
8/1/2013,88.39750147,76.71285394,91.50201169,59.24620755,72.3077029,109.4003257
9/1/2013,110.4268635,93.53116019,184.6024803,109.3701613,100.5719005,74.39108178
10/1/2013,177.4345582,159.4561084,582.4078001,109.6818509,111.0884514,95.86496535
11/1/2013,78.70875094,67.16274175,81.66225873,43.77438265,87.89878642,0
12/1/2013,92.19047652,95.22825316,114.4019106,47.14612108,155.6320426,23.54686358
1/1/2014,94.84290588,76.3170739,89.69125539,52.71442854,134.0600297,36.2786344
2/1/2014,84.19193938,44.05551531,82.36343802,71.77026657,86.71348412,46.18100183
3/1/2014,68.82542601,45.16197703,46.26796188,66.11635153,58.9622345,116.3019197
4/1/2014,55.37443615,25.73011666,39.08402713,25.90857217,42.79419045,21.91432961
5/1/2014,61.99283869,30.26387097,51.09504715,33.33140153,71.31500388,7.193225933
6/1/2014,57.39754543,18.68332577,28.04043631,30.3186284,70.24579079,38.96958551
7/1/2014,70.09205724,42.36643003,39.23092884,51.752608,76.65822026,23.19651692
8/1/2014,48.06057923,34.95971678,20.55630291,26.3741662,86.56795728,46.1034986
9/1/2014,53.5586027,45.6362195,31.92330598,40.88406891,74.58351721,7.522906274
10/1/2014,63.70123757,41.2695438,31.51392025,56.63373096,47.12677933,6.971752704
11/1/2014,55.98092109,32.1126885,60.55342607,29.15709202,76.56188643,15.44491108
12/1/2014,63.20245802,37.34541893,47.42608215,35.20309782,84.2470506,46.73693051
1/1/2015,75.96394725,51.93628701,49.99421742,64.12898101,70.25647555,51.96735066
2/1/2015,67.14075159,36.31179571,27.67996414,42.00929106,56.93404752,31.58475701
3/1/2015,60.38094378,33.92811263,60.67892078,46.21776516,41.88548255,21.44899251
4/1/2015,63.69088602,35.80220842,20.31871971,65.43965469,28.81690304,28.42040478
5/1/2015,61.5439999,31.08436626,25.89937099,30.43116605,43.28317619,96.04717474
