Date,BTC_Price,Gold_Price
2/1/2013,20.56073352,1665
2/8/2013,22.88873466,1669.75
2/15/2013,27.50265686,1629.25
2/22/2013,30.7060545,1580
3/1/2013,34.94444927,1570
3/8/2013,44.24245289,1577
3/15/2013,46.87486661,1593.25
3/22/2013,70.1402048,1611.5
3/29/2013,89.93351392,1602.5
4/5/2013,142.0566776,1552.75
4/12/2013,111.4182494,1548
4/19/2013,118.5232337,1414
4/26/2013,137.2631168,1462.25
5/3/2013,98.04223123,1476.5
5/10/2013,117.8848137,1449.25
5/17/2013,117.1721265,1376.75
5/24/2013,128.7204188,1385.25
5/31/2013,127.9465136,1410.25
6/7/2013,110.6462597,1410
6/14/2013,99.04478256,1379.75
6/21/2013,101.5723292,1290.25
6/28/2013,89.9216515,1203.25
7/5/2013,67.07208381,1232.75
7/12/2013,90.21308144,1275
7/19/2013,86.59658658,1286
7/26/2013,90.02852805,1327.75
8/2/2013,95.88938126,1285.75
8/9/2013,92.5332735,1305.5
8/16/2013,98.30276535,1360.75
8/23/2013,107.8520878,1374.5
8/30/2013,124.9585209,1392.75
9/6/2013,116.9021332,1368.25
9/13/2013,127.5439415,1308.25
9/20/2013,122.9406284,1355.25
9/27/2013,126.9030365,1321.5
10/4/2013,122.0062634,1316
10/11/2013,127.2251253,1285.75
10/18/2013,152.9649801,1317
10/25/2013,187.1162713,1341.75
11/1/2013,202.0365521,1314.75
11/8/2013,334.0975163,1309
11/15/2013,412.0282403,1281.75
11/22/2013,800.7826778,1241.75
11/29/2013,1133.55742,1245.25
12/6/2013,818.3291442,1230.75
12/13/2013,885.4320716,1222.75
12/20/2013,609.9186307,1195
12/27/2013,721.1723081,1209.25
1/3/2014,808.1743775,1232.25
1/10/2014,853.0337151,1232.25
1/17/2014,798.1451787,1241
1/24/2014,779.1151439,1259.25
1/31/2014,803.2089388,1246.5
2/7/2014,703.4621199,1260
2/14/2014,668.5433576,1308.5
2/21/2014,580.4265257,1320.75
2/28/2014,553.4618596,1327.75
3/7/2014,631.9173464,1348.25
3/14/2014,629.2893456,1370
3/21/2014,570.7579578,1338.5
3/28/2014,502.5032337,1295.75
4/4/2014,449.2854323,1293.5
4/11/2014,421.8815969,1317.25
4/18/2014,481.1044109,1299.25
4/25/2014,465.1373413,1294.25
5/2/2014,452.8604922,1285
5/9/2014,453.354869,1289
5/16/2014,448.5614806,1293.75
5/23/2014,523.6907088,1292
5/30/2014,620.8884461,1254
6/6/2014,649.0739931,1254
6/13/2014,599.619914,1273
6/20/2014,590.9810561,1310
6/27/2014,602.0678607,1315.25
7/4/2014,630.8686659,1321.5
7/11/2014,635.6484709,1336.5
7/18/2014,631.4140496,1310.25
7/25/2014,601.8771767,1292.5
8/1/2014,596.1039271,1284.5
8/8/2014,590.1352858,1317.5
8/15/2014,497.7956817,1313.6
8/22/2014,514.6197374,1281
8/29/2014,508.4683087,1285.75
9/5/2014,480.5832247,1264
9/12/2014,475.1242599,1237.25
9/19/2014,394.2336258,1222.5
9/26/2014,403.9367644,1222.25
10/3/2014,359.4502698,1207.5
10/10/2014,359.658648,1222.25
10/17/2014,382.9023961,1238
10/24/2014,357.4566995,1231.75
10/31/2014,337.058227,1173.25
11/7/2014,341.9099361,1145
11/14/2014,399.9290868,1154
11/21/2014,350.6684624,1193.25
11/28/2014,377.2983895,1184.5
12/5/2014,377.7039696,1204.5
12/12/2014,352.4045849,1223.5
12/19/2014,318.5636757,1197.5
12/26/2014,327.5920737,1177
1/2/2015,316.110271,1184.25
1/9/2015,291.0168197,1211.25
1/16/2015,208.5686211,1258.25
1/23/2015,233.3379622,1293.5
1/30/2015,227.0887769,1263.5
2/6/2015,222.8871806,1264
2/13/2015,236.1815316,1225.75
2/20/2015,244.6810666,1203.5
2/27/2015,254.6318691,1205
3/6/2015,273.3267737,1196.5
3/13/2015,283.484049,1156.5
3/20/2015,262.4636269,1171.75
3/27/2015,246.8676107,1198
4/3/2015,254.1905011,1201.5
4/10/2015,236.2307944,1201.9
4/17/2015,222.670634,1204.55
4/24/2015,231.2520432,1192.15
5/1/2015,232.0187986,1179
5/8/2015,244.2043009,1185.25
5/15/2015,237.4067608,1216.3
5/22/2015,240.4513915,1211
5/29/2015,236.5005253,1190.4
6/5/2015,224.6851071,1175.9
6/12/2015,229.4253348,1179.25
6/19/2015,244.6272094,1198.15
6/26/2015,243.2778516,1174.4
7/3/2015,256.2461058,1168.25
7/10/2015,285.6012251,1162.4
7/17/2015,279.9786998,1143
7/24/2015,288.7440006,1083.75
7/31/2015,284.681201,1080.05
8/7/2015,280.3008659,1091.35
8/14/2015,264.99138,1116.75
8/21/2015,232.9182757,1149.35
8/28/2015,232.1951439,1125.5
9/4/2015,230.9482398,1125
9/11/2015,240.3584052,1106.35
9/18/2015,232.1751293,1136
9/25/2015,234.7269865,1145.5
10/2/2015,237.8536035,1106.3
10/9/2015,244.7380406,1151.5
10/16/2015,263.1900853,1176.35
10/23/2015,278.6794394,1171.55
10/30/2015,329.472388,1147.75
11/6/2015,375.3951129,1107.7
11/13/2015,338.1916067,1083.75
11/20/2015,322.4353243,1085.15
11/27/2015,358.7104565,1064.65
12/4/2015,363.6692522,1063
12/11/2015,455.3276316,1067.2
12/18/2015,463.0710194,1055.25
12/25/2015,455.6404342,1071.9
1/1/2016,434.3363469,1118.17
1/8/2016,453.8620979,1097.45
1/15/2016,359.6326316,1081.1
1/22/2016,382.1528894,1097.65
1/29/2016,378.1490014,1112.9
2/5/2016,386.7883876,1158.5
2/12/2016,378.8366667,1239.5
2/19/2016,420.3270617,1221.5
2/26/2016,434.7122974,1231
3/5/2016,395.3494185,1271.5
3/12/2016,407.2759833,1262.25
3/19/2016,411.5068619,1254.5
3/26/2016,417.6813129,1216.45
4/2/2016,421.8530085,1232.1
4/9/2016,418.2597924,1235
4/16/2016,431.9806333,1229.75
4/23/2016,454.6559207,1245.4
4/30/2016,447.6085947,1274.5
5/7/2016,460.037606,1280.25
5/14/2016,456.2607216,1275.15
5/21/2016,442.5225385,1256.5
5/28/2016,527.3270021,1221.25
6/4/2016,570.950871,1211
6/11/2016,614.1066613,1266.6
6/18/2016,757.7169474,1284.5
6/25/2016,666.478299,1313.85
7/2/2016,705.9440134,1331.75
7/9/2016,650.5796193,1356.1
7/16/2016,664.6615359,1330.5
7/23/2016,656.0183957,1323.2
7/30/2016,654.2501793,1332.5
8/6/2016,594.1439013,1362.6
8/13/2016,585.3192731,1336.7
8/20/2016,581.8212221,1346.85
8/27/2016,574.8664521,1324.9
9/3/2016,603.5027351,1311.5
9/10/2016,626.2798139,1335.65
9/17/2016,610.0505721,1314.25
9/24/2016,603.7765389,1335.9
