Date,Inflation Value (1984=100),Monthly Change (%),BTC_Price,BTC_Pct_Change
2013-02,232.166,0.8,33.85347654,0
2013-03,232.773,0.3,93.79780464,177.0699326
2013-04,232.531,-0.1,139.883753,49.13329108
2013-05,232.945,0.2,127.9465136,-8.533685394
2013-06,233.504,0.2,89.73516147,-29.86509837
2013-07,233.596,0,98.25254218,9.491687061
2013-08,233.877,0.1,127.8974808,30.17218484
2013-09,234.149,0.1,126.2021752,-1.325519181
2013-10,233.546,-0.3,203.1348501,60.95986442
2013-11,233.069,-0.2,1120.352611,451.5314634
2013-12,233.049,0,730.7582479,-34.77426299
2014-01,233.916,0.4,803.2089388,9.914454078
2014-02,234.781,0.4,553.4618596,-31.09366282
2014-03,236.293,0.6,456.4149276,-17.53452931
2014-04,237.072,0.3,449.0348079,-1.616975972
2014-05,237.9,0.3,626.3698084,39.49248418
2014-06,238.343,0.2,640.6635391,2.281995487
2014-07,238.25,0,580.8213119,-9.340663788
2014-08,237.852,-0.2,478.3638454,-17.64010109
2014-09,238.031,0.1,388.1904375,-18.85038109
2014-10,237.433,-0.3,337.058227,-13.17193974
2014-11,236.151,-0.5,379.5210833,12.59807738
2014-12,234.812,-0.6,322.1062466,-15.12823375
2015-01,233.707,-0.5,216.2255699,-32.87135157
2015-02,234.722,0.4,255.2487086,18.04742093
2015-03,236.119,0.6,244.5767681,-4.18099687
2015-04,236.599,0.2,236.2158471,-3.418526262
2015-05,237.805,0.5,229.1003671,-3.01227882
2015-06,238.638,0.4,263.0324964,14.81103224
2015-07,238.654,0,284.681201,8.230429669
2015-08,238.316,-0.1,230.0984772,-19.17328
2015-09,237.945,-0.2,236.5082775,2.785676953
2015-10,237.838,0,314.2708334,32.87942254
2015-11,237.336,-0.2,376.9633511,19.94856381
2015-12,236.525,-0.3,429.6565276,13.97832877
2016-01,236.916,0.2,368.5008277,-14.23362524
2016-02,237.111,0.1,433.831489,17.72876924
2016-03,238.132,0.4,417.0801431,-3.86125636
2016-04,239.261,0.5,447.6085947,7.319564877
2016-05,240.229,0.4,531.7330407,18.79419808
2016-06,241.018,0.3,674.6485059,26.87729638
2016-07,240.628,-0.2,623.0492291,-7.648320028
2016-08,240.849,0.1,573.9409101,-7.881932394
2016-09,241.428,0.2,610.6321829,6.392865902
2016-10,241.729,0.1,704.5256944,15.37644333
2016-11,241.353,-0.2,749.6384966,6.403287001
2016-12,241.432,0,979.9119424,30.71793229
2017-01,242.839,0.6,965.9662593,-1.423156768
2017-02,243.603,0.3,1199.324018,24.15796163
2017-03,243.801,0.1,1079.667072,-9.97703241
2017-04,244.524,0.3,1391.031633,28.83894205
2017-05,244.733,0.1,2267.214268,62.98797341
2017-06,244.955,0.1,2445.675081,7.871369542
2017-07,244.786,-0.1,2868.235069,17.27784657
2017-08,245.519,0.3,4732.581592,64.99978132
2017-09,246.819,0.5,4349.368763,-8.097331685
2017-10,246.663,-0.1,6444.31383,48.16664627
2017-11,246.669,0,10001.57041,55.1999278
2017-12,246.524,-0.1,13923.29422,39.21108038
2018-01,247.867,0.5,10108.51808,-27.39851706
2018-02,248.991,0.5,10355.46404,2.442949148
2018-03,249.554,0.2,6900.617901,-33.36254295
2018-04,250.546,0.4,9224.420877,33.67528836
2018-05,251.588,0.4,7499.938145,-18.69475337
2018-06,251.989,0.2,6388.326791,-14.82160696
2018-07,252.006,0,7721.390253,20.86717705
2018-08,252.146,0.1,7011.730138,-9.190833406
2018-09,252.439,0.1,6599.811059,-5.874713809
2018-10,252.885,0.2,6333.795163,-4.030659276
2018-11,252.038,-0.3,4028.007957,-36.40451178
2018-12,251.233,-0.3,3798.788196,-5.690648163
2019-01,251.712,0.2,3467.400941,-8.723499118
2019-02,252.776,0.4,3867.141322,11.52853067
2019-03,254.202,0.6,4127.509825,6.732841691
2019-04,255.548,0.5,5479.035375,32.74433272
2019-05,256.092,0.2,8507.938048,55.28167762
2019-06,256.143,0,10890.05719,27.99878338
2019-07,256.571,0.2,10084.97211,-7.392845306
2019-08,256.558,0,9609.551315,-4.714150813
2019-09,256.759,0.1,8315.146329,-13.46998361
2019-10,257.346,0.2,9197.748189,10.61438759
2019-11,257.208,-0.1,7777.982402,-15.43601496
2019-12,256.974,-0.1,7055.977176,-9.282680121
2020-01,257.971,0.4,9539.162243,35.19264597
2020-02,258.678,0.3,8695.845486,-8.840574627
2020-03,258.115,-0.2,6514.816691,-25.08127356
2020-04,256.389,-0.7,8579.322466,31.68939162
2020-05,256.394,0,9170.7569,6.893719588
2020-06,257.797,0.5,9209.798882,0.425722581
2020-07,259.101,0.5,11353.47823,23.27607124
2020-08,259.918,0.3,11670.62656,2.793402392
2020-09,260.28,0.1,10784.41102,-7.593555828
2020-10,260.388,0,13893.46573,28.82915633
2020-11,260.229,-0.1,19531.16868,40.5780894
2020-12,260.474,0.1,33099.05749,69.46787995
