Date, Close,NDAQ_Change,NDAQ_pct_Change
2013-02-01,3179.1,0,0
2013-02-04,3131.17,-47.93,-0.015076594
2013-02-05,3171.58,40.41,0.012905719
2013-02-06,3168.48,-3.1,-0.000977431
2013-02-07,3165.13,-3.35,-0.001057289
2013-02-08,3193.87,28.74,0.009080196
2013-02-11,3192,-1.87,-0.000585497
2013-02-12,3186.49,-5.51,-0.00172619
2013-02-13,3196.88,10.39,0.003260641
2013-02-14,3198.66,1.78,0.000556793
2013-02-15,3192.03,-6.63,-0.002072743
2013-02-19,3213.59,21.56,0.006754322
2013-02-20,3164.41,-49.18,-0.015303757
2013-02-21,3131.49,-32.92,-0.010403203
2013-02-22,3161.82,30.33,0.009685485
2013-02-25,3116.25,-45.57,-0.014412585
2013-02-26,3129.65,13.4,0.00430004
2013-02-27,3162.26,32.61,0.010419695
2013-02-28,3160.19,-2.07,-0.000654595
2013-03-01,3169.74,9.55,0.00302197
2013-03-04,3182.03,12.29,0.00387729
2013-03-05,3224.13,42.1,0.013230548
2013-03-06,3222.37,-1.76,-0.000545884
2013-03-07,3232.09,9.72,0.003016413
2013-03-08,3244.37,12.28,0.003799399
2013-03-11,3252.87,8.5,0.002619923
2013-03-12,3242.32,-10.55,-0.00324329
2013-03-13,3245.12,2.8,0.000863579
2013-03-14,3258.93,13.81,0.004255621
2013-03-15,3249.07,-9.86,-0.003025533
2013-03-18,3237.59,-11.48,-0.003533319
2013-03-19,3229.1,-8.49,-0.002622321
2013-03-20,3254.19,25.09,0.007769967
2013-03-21,3222.6,-31.59,-0.009707485
2013-03-22,3245,22.4,0.006950909
2013-03-25,3235.3,-9.7,-0.002989214
2013-03-26,3252.48,17.18,0.005310172
2013-03-27,3256.52,4.04,0.001242129
2013-03-28,3267.52,11,0.003377839
2013-04-01,3239.17,-28.35,-0.008676305
2013-04-02,3254.86,15.69,0.004843833
2013-04-03,3218.6,-36.26,-0.011140264
2013-04-04,3224.98,6.38,0.001982228
2013-04-05,3203.86,-21.12,-0.006548878
2013-04-08,3222.25,18.39,0.005739951
2013-04-09,3237.86,15.61,0.004844441
2013-04-10,3297.25,59.39,0.018342362
2013-04-11,3300.16,2.91,0.000882554
2013-04-12,3294.95,-5.21,-0.001578711
2013-04-15,3216.49,-78.46,-0.023812197
2013-04-16,3264.63,48.14,0.014966625
2013-04-17,3204.67,-59.96,-0.018366553
2013-04-18,3166.36,-38.31,-0.011954429
2013-04-19,3206.06,39.7,0.012538056
2013-04-22,3233.55,27.49,0.008574387
2013-04-23,3269.33,35.78,0.011065238
2013-04-24,3269.65,0.32,9.78794E-05
2013-04-25,3289.99,20.34,0.006220849
2013-04-26,3279.26,-10.73,-0.003261408
2013-04-29,3307.02,27.76,0.008465324
2013-04-30,3328.79,21.77,0.006582966
2013-05-01,3299.13,-29.66,-0.008910145
2013-05-02,3340.62,41.49,0.012576043
2013-05-03,3378.63,38.01,0.011378127
2013-05-06,3392.97,14.34,0.004244324
2013-05-07,3396.63,3.66,0.001078701
2013-05-08,3413.27,16.64,0.004898973
2013-05-09,3409.17,-4.1,-0.001201194
2013-05-10,3436.58,27.41,0.00804008
2013-05-13,3438.79,2.21,0.000643081
2013-05-14,3462.61,23.82,0.006926855
2013-05-15,3471.62,9.01,0.002602083
2013-05-16,3465.24,-6.38,-0.001837759
2013-05-17,3498.97,33.73,0.009733814
2013-05-20,3496.43,-2.54,-0.000725928
2013-05-21,3502.12,5.69,0.001627374
2013-05-22,3463.3,-38.82,-0.011084714
2013-05-23,3459.42,-3.88,-0.001120319
2013-05-24,3459.14,-0.28,-8.09384E-05
2013-05-28,3488.89,29.75,0.008600404
2013-05-29,3467.52,-21.37,-0.006125157
2013-05-30,3491.3,23.78,0.006857927
2013-05-31,3455.91,-35.39,-0.010136625
2013-06-03,3465.37,9.46,0.00273734
2013-06-04,3445.26,-20.11,-0.005803132
2013-06-05,3401.48,-43.78,-0.012707314
2013-06-06,3424.05,22.57,0.006635347
2013-06-07,3469.22,45.17,0.01319198
2013-06-10,3473.77,4.55,0.001311534
2013-06-11,3436.95,-36.82,-0.010599435
2013-06-12,3400.43,-36.52,-0.0106257
2013-06-13,3445.37,44.94,0.013215976
2013-06-14,3423.56,-21.81,-0.006330234
2013-06-17,3452.13,28.57,0.008345114
2013-06-18,3482.18,30.05,0.008704771
2013-06-19,3443.2,-38.98,-0.011194137
2013-06-20,3364.63,-78.57,-0.022818889
2013-06-21,3357.25,-7.38,-0.002193406
2013-06-24,3320.76,-36.49,-0.010869015
2013-06-25,3347.89,27.13,0.008169817
2013-06-26,3376.22,28.33,0.008462046
2013-06-27,3401.86,25.64,0.007594292
2013-06-28,3403.25,1.39,0.0004086
2013-07-01,3434.49,31.24,0.009179461
2013-07-02,3433.4,-1.09,-0.000317369
2013-07-03,3443.67,10.27,0.002991204
2013-07-05,3479.38,35.71,0.010369751
2013-07-08,3484.83,5.45,0.001566371
2013-07-09,3504.26,19.43,0.005575595
2013-07-10,3520.76,16.5,0.004708555
2013-07-11,3578.3,57.54,0.016343062
2013-07-12,3600.08,21.78,0.006086689
2013-07-15,3607.49,7.41,0.002058288
2013-07-16,3598.5,-8.99,-0.002492037
2013-07-17,3610,11.5,0.003195776
2013-07-18,3611.28,1.28,0.000354571
2013-07-19,3587.61,-23.67,-0.006554463
2013-07-22,3600.39,12.78,0.00356226
2013-07-23,3579.27,-21.12,-0.005866031
2013-07-24,3579.6,0.33,9.21976E-05
2013-07-25,3605.19,25.59,0.007148843
2013-07-26,3613.16,7.97,0.002210702
2013-07-29,3599.14,-14.02,-0.00388026
2013-07-30,3616.47,17.33,0.004815039
2013-07-31,3626.37,9.9,0.002737476
2013-08-01,3675.74,49.37,0.013614165
2013-08-02,3689.59,13.85,0.003767949
2013-08-05,3692.95,3.36,0.00091067
2013-08-06,3665.77,-27.18,-0.00735997
2013-08-07,3654.01,-11.76,-0.003208057
2013-08-08,3669.12,15.11,0.004135183
2013-08-09,3660.11,-9.01,-0.00245563
2013-08-12,3669.95,9.84,0.002688444
2013-08-13,3684.44,14.49,0.003948283
2013-08-14,3669.27,-15.17,-0.004117315
2013-08-15,3606.12,-63.15,-0.017210508
2013-08-16,3602.78,-3.34,-0.000926203
2013-08-19,3589.09,-13.69,-0.003799843
2013-08-20,3613.59,24.5,0.006826243
2013-08-21,3599.79,-13.8,-0.003818917
2013-08-22,3638.71,38.92,0.010811742
2013-08-23,3657.79,19.08,0.005243617
2013-08-26,3657.57,-0.22,-6.01456E-05
2013-08-27,3578.52,-79.05,-0.02161271
2013-08-28,3593.35,14.83,0.004144171
2013-08-29,3620.3,26.95,0.007499965
2013-08-30,3589.87,-30.43,-0.008405381
2013-09-03,3612.61,22.74,0.006334491
2013-09-04,3649.04,36.43,0.010084122
2013-09-05,3658.78,9.74,0.002669195
2013-09-06,3660.01,1.23,0.000336178
2013-09-09,3706.18,46.17,0.01261472
2013-09-10,3729.02,22.84,0.00616268
2013-09-11,3725.01,-4.01,-0.00107535
2013-09-12,3715.97,-9.04,-0.002426839
2013-09-13,3722.18,6.21,0.001671165
2013-09-16,3717.85,-4.33,-0.001163297
2013-09-17,3745.7,27.85,0.007490889
2013-09-18,3783.64,37.94,0.010128948
2013-09-19,3789.38,5.74,0.001517058
2013-09-20,3774.73,-14.65,-0.003866068
2013-09-23,3765.29,-9.44,-0.002500841
2013-09-24,3768.25,2.96,0.000786128
2013-09-25,3761.1,-7.15,-0.001897432
2013-09-26,3787.43,26.33,0.007000612
2013-09-27,3781.59,-5.84,-0.001541943
2013-09-30,3771.48,-10.11,-0.002673479
2013-10-01,3817.98,46.5,0.012329377
2013-10-02,3815.02,-2.96,-0.000775279
2013-10-03,3774.34,-40.68,-0.010663116
2013-10-04,3807.75,33.41,0.008851879
2013-10-07,3770.38,-37.37,-0.009814195
2013-10-08,3694.83,-75.55,-0.020037768
2013-10-09,3677.78,-17.05,-0.004614556
2013-10-10,3760.75,82.97,0.022559805
2013-10-11,3791.87,31.12,0.008274945
2013-10-14,3815.27,23.4,0.006171098
2013-10-15,3794.01,-21.26,-0.005572345
2013-10-16,3839.43,45.42,0.011971502
2013-10-17,3863.15,23.72,0.006178
2013-10-18,3914.28,51.13,0.013235313
2013-10-21,3920.05,5.77,0.00147409
2013-10-22,3929.57,9.52,0.00242854
2013-10-23,3907.07,-22.5,-0.005725817
2013-10-24,3928.96,21.89,0.005602664
2013-10-25,3943.36,14.4,0.003665092
2013-10-28,3940.13,-3.23,-0.000819098
2013-10-29,3952.34,12.21,0.003098883
2013-10-30,3930.62,-21.72,-0.005495479
2013-10-31,3919.71,-10.91,-0.002775644
2013-11-01,3922.04,2.33,0.000594432
2013-11-04,3936.59,14.55,0.003709804
2013-11-05,3939.86,3.27,0.000830668
2013-11-06,3931.95,-7.91,-0.002007686
2013-11-07,3857.33,-74.62,-0.018977861
2013-11-08,3919.23,61.9,0.01604737
2013-11-11,3919.79,0.56,0.000142885
2013-11-12,3919.92,0.13,3.3165E-05
2013-11-13,3965.58,45.66,0.011648197
2013-11-14,3972.74,7.16,0.001805537
2013-11-15,3985.97,13.23,0.003330195
2013-11-18,3949.07,-36.9,-0.009257471
2013-11-19,3931.55,-17.52,-0.004436488
2013-11-20,3921.27,-10.28,-0.002614745
2013-11-21,3969.15,47.88,0.01221033
2013-11-22,3991.65,22.5,0.00566872
2013-11-25,3994.57,2.92,0.000731527
2013-11-26,4017.75,23.18,0.005802877
2013-11-27,4044.75,27,0.006720179
2013-11-29,4059.89,15.14,0.003743124
2013-12-02,4045.26,-14.63,-0.003603546
2013-12-03,4037.2,-8.06,-0.001992455
2013-12-04,4038,0.8,0.000198157
2013-12-05,4033.16,-4.84,-0.001198613
2013-12-06,4062.52,29.36,0.007279652
2013-12-09,4068.75,6.23,0.001533531
2013-12-10,4060.49,-8.26,-0.002030108
2013-12-11,4003.81,-56.68,-0.013958906
2013-12-12,3998.4,-5.41,-0.001351213
2013-12-13,4000.98,2.58,0.000645258
2013-12-16,4029.52,28.54,0.007133252
2013-12-17,4023.68,-5.84,-0.001449304
2013-12-18,4070.06,46.38,0.011526762
2013-12-19,4058.13,-11.93,-0.002931161
2013-12-20,4104.74,46.61,0.011485586
2013-12-23,4148.9,44.16,0.010758294
2013-12-24,4155.42,6.52,0.001571501
2013-12-26,4167.18,11.76,0.002830039
2013-12-27,4156.59,-10.59,-0.002541287
2013-12-30,4154.2,-2.39,-0.000574991
2013-12-31,4176.59,22.39,0.005389726
2014-01-02,4143.07,-33.52,-0.008025686
2014-01-03,4131.91,-11.16,-0.002693655
2014-01-06,4113.68,-18.23,-0.004412003
2014-01-07,4153.18,39.5,0.009602108
2014-01-08,4165.61,12.43,0.002992887
2014-01-09,4156.19,-9.42,-0.002261373
2014-01-10,4174.66,18.47,0.004443974
2014-01-13,4113.3,-61.36,-0.014698203
2014-01-14,4183.02,69.72,0.016949894
2014-01-15,4214.88,31.86,0.007616507
2014-01-16,4218.69,3.81,0.00090394
2014-01-17,4197.58,-21.11,-0.005003923
2014-01-21,4225.76,28.18,0.006713392
2014-01-22,4243,17.24,0.00407974
2014-01-23,4218.87,-24.13,-0.005687014
2014-01-24,4128.17,-90.7,-0.021498648
2014-01-27,4083.61,-44.56,-0.010794129
2014-01-28,4097.96,14.35,0.003514048
2014-01-29,4051.43,-46.53,-0.01135443
2014-01-30,4123.13,71.7,0.017697455
2014-01-31,4103.88,-19.25,-0.004668783
2014-02-03,3996.96,-106.92,-0.026053393
2014-02-04,4031.52,34.56,0.008646571
2014-02-05,4011.55,-19.97,-0.004953467
2014-02-06,4057.12,45.57,0.011359699
2014-02-07,4125.86,68.74,0.016943053
2014-02-10,4148.17,22.31,0.005407357
2014-02-11,4191.04,42.87,0.010334678
2014-02-12,4201.29,10.25,0.002445694
2014-02-13,4240.67,39.38,0.009373312
2014-02-14,4244.03,3.36,0.000792328
2014-02-18,4272.78,28.75,0.006774222
2014-02-19,4237.95,-34.83,-0.008151602
2014-02-20,4267.55,29.6,0.006984509
2014-02-21,4263.41,-4.14,-0.000970112
2014-02-24,4292.97,29.56,0.006933417
2014-02-25,4287.59,-5.38,-0.001253212
2014-02-26,4292.06,4.47,0.001042544
2014-02-27,4318.93,26.87,0.006260397
2014-02-28,4308.12,-10.81,-0.002502935
2014-03-03,4277.3,-30.82,-0.007153933
2014-03-04,4351.97,74.67,0.017457274
2014-03-05,4357.97,6,0.001378686
2014-03-06,4352.13,-5.84,-0.001340073
2014-03-07,4336.22,-15.91,-0.003655681
2014-03-10,4334.45,-1.77,-0.00040819
2014-03-11,4307.19,-27.26,-0.006289149
2014-03-12,4323.33,16.14,0.003747223
2014-03-13,4260.42,-62.91,-0.014551283
2014-03-14,4245.4,-15.02,-0.003525474
2014-03-17,4279.95,34.55,0.00813822
2014-03-18,4333.31,53.36,0.012467435
2014-03-19,4307.6,-25.71,-0.005933109
2014-03-20,4319.29,11.69,0.002713808
2014-03-21,4276.79,-42.5,-0.00983958
2014-03-24,4226.39,-50.4,-0.011784539
2014-03-25,4234.27,7.88,0.001864475
2014-03-26,4173.58,-60.69,-0.014333049
2014-03-27,4151.23,-22.35,-0.005355115
2014-03-28,4155.76,4.53,0.001091243
2014-03-31,4198.99,43.23,0.010402429
2014-04-01,4268.04,69.05,0.016444431
2014-04-02,4276.46,8.42,0.001972803
2014-04-03,4237.74,-38.72,-0.009054218
2014-04-04,4127.73,-110.01,-0.025959592
2014-04-07,4079.75,-47.98,-0.011623822
2014-04-08,4112.99,33.24,0.008147558
2014-04-09,4183.9,70.91,0.017240499
2014-04-10,4054.11,-129.79,-0.031021296
2014-04-11,3999.73,-54.38,-0.013413548
2014-04-14,4022.69,22.96,0.005740387
2014-04-15,4034.16,11.47,0.002851326
2014-04-16,4086.23,52.07,0.012907272
2014-04-17,4095.52,9.29,0.002273489
2014-04-21,4121.55,26.03,0.006355725
2014-04-22,4161.46,39.91,0.00968325
2014-04-23,4126.97,-34.49,-0.008287957
2014-04-24,4148.34,21.37,0.005178133
2014-04-25,4075.56,-72.78,-0.017544367
2014-04-28,4074.4,-1.16,-0.000284623
2014-04-29,4103.54,29.14,0.007151973
2014-04-30,4114.56,11.02,0.002685486
2014-05-01,4127.45,12.89,0.003132777
2014-05-02,4123.9,-3.55,-0.000860095
2014-05-05,4138.06,14.16,0.003433643
2014-05-06,4080.76,-57.3,-0.013847068
2014-05-07,4067.67,-13.09,-0.003207736
2014-05-08,4051.5,-16.17,-0.003975249
2014-05-09,4071.87,20.37,0.005027767
2014-05-12,4143.86,71.99,0.017679838
2014-05-13,4130.17,-13.69,-0.003303683
2014-05-14,4100.63,-29.54,-0.007152248
2014-05-15,4069.29,-31.34,-0.007642728
2014-05-16,4090.59,21.3,0.005234328
2014-05-19,4125.82,35.23,0.00861245
2014-05-20,4096.89,-28.93,-0.007011939
2014-05-21,4131.54,34.65,0.008457635
2014-05-22,4154.34,22.8,0.005518523
2014-05-23,4185.81,31.47,0.007575211
2014-05-27,4237.07,51.26,0.012246136
2014-05-28,4225.07,-12,-0.002832146
2014-05-29,4247.95,22.88,0.005415295
2014-05-30,4242.62,-5.33,-0.001254723
2014-06-02,4237.2,-5.42,-0.001277512
2014-06-03,4234.08,-3.12,-0.000736335
2014-06-04,4251.64,17.56,0.0041473
2014-06-05,4296.23,44.59,0.010487718
2014-06-06,4321.4,25.17,0.005858625
2014-06-09,4336.24,14.84,0.003434072
2014-06-10,4338,1.76,0.000405882
2014-06-11,4331.93,-6.07,-0.001399262
2014-06-12,4297.63,-34.3,-0.007917949
2014-06-13,4310.65,13.02,0.003029577
2014-06-16,4321.11,10.46,0.002426548
2014-06-17,4337.23,16.12,0.003730523
2014-06-18,4362.84,25.61,0.00590469
2014-06-19,4359.33,-3.51,-0.000804522
2014-06-20,4368.04,8.71,0.001998013
2014-06-23,4368.68,0.64,0.000146519
2014-06-24,4350.36,-18.32,-0.004193486
2014-06-25,4379.76,29.4,0.006758061
2014-06-26,4379.05,-0.71,-0.000162109
2014-06-27,4397.93,18.88,0.004311437
2014-06-30,4408.18,10.25,0.002330642
2014-07-01,4458.65,50.47,0.011449169
2014-07-02,4457.73,-0.92,-0.00020634
2014-07-03,4485.93,28.2,0.00632609
2014-07-07,4451.53,-34.4,-0.007668421
2014-07-08,4391.46,-60.07,-0.013494237
2014-07-09,4419.03,27.57,0.006278094
2014-07-10,4396.2,-22.83,-0.005166292
2014-07-11,4415.49,19.29,0.00438788
2014-07-14,4440.42,24.93,0.005646032
2014-07-15,4416.39,-24.03,-0.00541165
2014-07-16,4425.97,9.58,0.002169192
2014-07-17,4363.45,-62.52,-0.014125717
2014-07-18,4432.15,68.7,0.015744422
2014-07-21,4424.7,-7.45,-0.0016809
2014-07-22,4456.02,31.32,0.007078446
2014-07-23,4473.7,17.68,0.003967666
2014-07-24,4472.11,-1.59,-0.000355411
2014-07-25,4449.56,-22.55,-0.005042363
2014-07-28,4444.91,-4.65,-0.001045047
2014-07-29,4442.7,-2.21,-0.000497198
2014-07-30,4462.9,20.2,0.004546785
2014-07-31,4369.77,-93.13,-0.020867597
2014-08-01,4352.64,-17.13,-0.003920115
2014-08-04,4383.89,31.25,0.007179551
2014-08-05,4352.84,-31.05,-0.007082751
2014-08-06,4355.05,2.21,0.000507715
2014-08-07,4334.97,-20.08,-0.004610739
2014-08-08,4370.9,35.93,0.008288408
2014-08-11,4401.33,30.43,0.006961953
2014-08-12,4389.25,-12.08,-0.002744625
2014-08-13,4434.13,44.88,0.010224981
2014-08-14,4453,18.87,0.004255626
2014-08-15,4464.93,11.93,0.002679093
2014-08-18,4508.31,43.38,0.009715718
2014-08-19,4527.51,19.2,0.004258802
2014-08-20,4526.48,-1.03,-0.000227498
2014-08-21,4532.1,5.62,0.001241583
2014-08-22,4538.55,6.45,0.001423181
2014-08-25,4557.35,18.8,0.004142292
2014-08-26,4570.64,13.29,0.002916168
2014-08-27,4569.62,-1.02,-0.000223163
2014-08-28,4557.69,-11.93,-0.00261072
2014-08-29,4580.27,22.58,0.004954264
2014-09-02,4598.19,17.92,0.003912433
2014-09-03,4572.57,-25.62,-0.005571758
2014-09-04,4562.29,-10.28,-0.002248189
2014-09-05,4582.9,20.61,0.004517468
2014-09-08,4592.29,9.39,0.002048921
2014-09-09,4552.29,-40,-0.008710251
2014-09-10,4586.52,34.23,0.007519292
2014-09-11,4591.81,5.29,0.00115338
2014-09-12,4567.6,-24.21,-0.005272431
2014-09-15,4518.9,-48.7,-0.010662054
2014-09-16,4552.76,33.86,0.007492974
2014-09-17,4562.19,9.43,0.002071271
2014-09-18,4593.43,31.24,0.006847589
2014-09-19,4579.79,-13.64,-0.002969459
2014-09-22,4527.69,-52.1,-0.011376067
2014-09-23,4508.69,-19,-0.0041964
2014-09-24,4555.22,46.53,0.010320071
2014-09-25,4466.75,-88.47,-0.019421674
2014-09-26,4512.19,45.44,0.010172945
2014-09-29,4505.85,-6.34,-0.001405083
2014-09-30,4493.39,-12.46,-0.002765294
2014-10-01,4422.09,-71.3,-0.015867752
2014-10-02,4430.19,8.1,0.001831713
2014-10-03,4475.62,45.43,0.010254639
2014-10-06,4454.8,-20.82,-0.004651869
2014-10-07,4385.2,-69.6,-0.015623597
2014-10-08,4468.59,83.39,0.019016236
2014-10-09,4378.34,-90.25,-0.020196527
2014-10-10,4276.24,-102.1,-0.02331934
2014-10-13,4213.66,-62.58,-0.014634352
2014-10-14,4227.17,13.51,0.003206239
2014-10-15,4215.32,-11.85,-0.002803294
2014-10-16,4217.39,2.07,0.000491066
2014-10-17,4258.44,41.05,0.009733508
2014-10-20,4316.07,57.63,0.013533125
2014-10-21,4419.48,103.41,0.023959296
2014-10-22,4382.85,-36.63,-0.008288305
2014-10-23,4452.79,69.94,0.015957653
2014-10-24,4483.72,30.93,0.006946207
2014-10-27,4485.93,2.21,0.000492894
2014-10-28,4564.29,78.36,0.01746795
2014-10-29,4549.23,-15.06,-0.003299527
2014-10-30,4566.14,16.91,0.003717113
2014-10-31,4630.74,64.6,0.014147617
2014-11-03,4638.91,8.17,0.001764297
2014-11-04,4623.64,-15.27,-0.003291722
2014-11-05,4620.72,-2.92,-0.000631537
2014-11-06,4638.47,17.75,0.003841393
2014-11-07,4632.53,-5.94,-0.001280595
2014-11-10,4651.62,19.09,0.004120858
2014-11-11,4660.56,8.94,0.001921911
2014-11-12,4675.13,14.57,0.003126234
2014-11-13,4680.14,5.01,0.001071628
2014-11-14,4688.54,8.4,0.001794818
2014-11-17,4671,-17.54,-0.003741037
2014-11-18,4702.44,31.44,0.006730893
2014-11-19,4675.71,-26.73,-0.005684283
2014-11-20,4701.87,26.16,0.005594872
2014-11-21,4712.97,11.1,0.002360763
2014-11-24,4754.89,41.92,0.008894604
2014-11-25,4758.25,3.36,0.000706641
2014-11-26,4787.32,29.07,0.006109389
2014-11-28,4791.63,4.31,0.000900295
2014-12-01,4727.35,-64.28,-0.013415059
2014-12-02,4755.81,28.46,0.006020286
2014-12-03,4774.47,18.66,0.003923622
2014-12-04,4769.44,-5.03,-0.00105352
2014-12-05,4780.76,11.32,0.002373444
2014-12-08,4740.69,-40.07,-0.008381513
2014-12-09,4766.47,25.78,0.005438027
2014-12-10,4684.03,-82.44,-0.017295818
2014-12-11,4708.16,24.13,0.005151547
2014-12-12,4653.6,-54.56,-0.011588391
2014-12-15,4605.16,-48.44,-0.010409146
2014-12-16,4547.83,-57.33,-0.012449079
2014-12-17,4644.31,96.48,0.021214513
2014-12-18,4748.4,104.09,0.022412371
2014-12-19,4765.38,16.98,0.003575941
2014-12-22,4781.42,16.04,0.003365944
2014-12-23,4765.42,-16,-0.003346286
2014-12-24,4773.47,8.05,0.001689253
2014-12-26,4806.86,33.39,0.006994911
2014-12-29,4806.91,0.05,1.04018E-05
2014-12-30,4777.44,-29.47,-0.006130758
2014-12-31,4736.05,-41.39,-0.008663636
2015-01-02,4726.81,-9.24,-0.001950993
2015-01-05,4652.57,-74.24,-0.015706153
2015-01-06,4592.74,-59.83,-0.012859559
2015-01-07,4650.47,57.73,0.012569838
2015-01-08,4736.19,85.72,0.018432546
2015-01-09,4704.07,-32.12,-0.006781823
2015-01-12,4664.71,-39.36,-0.008367222
2015-01-13,4661.5,-3.21,-0.000688146
2015-01-14,4639.32,-22.18,-0.004758125
2015-01-15,4570.82,-68.5,-0.014765095
2015-01-16,4634.38,63.56,0.013905601
2015-01-20,4654.85,20.47,0.004416988
2015-01-21,4667.42,12.57,0.002700409
2015-01-22,4750.4,82.98,0.017778559
2015-01-23,4757.88,7.48,0.001574604
2015-01-26,4771.76,13.88,0.002917266
2015-01-27,4681.5,-90.26,-0.018915453
2015-01-28,4637.99,-43.51,-0.00929403
2015-01-29,4683.41,45.42,0.009793035
2015-01-30,4635.24,-48.17,-0.010285241
2015-02-02,4676.69,41.45,0.008942363
2015-02-03,4727.74,51.05,0.01091584
2015-02-04,4716.7,-11.04,-0.002335154
2015-02-05,4765.1,48.4,0.010261412
2015-02-06,4744.4,-20.7,-0.004344085
2015-02-09,4726.01,-18.39,-0.003876149
2015-02-10,4787.64,61.63,0.013040599
2015-02-11,4801.18,13.54,0.002828116
2015-02-12,4857.61,56.43,0.011753361
2015-02-13,4893.84,36.23,0.0074584
2015-02-17,4899.27,5.43,0.001109558
2015-02-18,4906.36,7.09,0.001447154
2015-02-19,4924.7,18.34,0.003738005
2015-02-20,4955.97,31.27,0.006349625
2015-02-23,4960.97,5,0.001008884
2015-02-24,4968.12,7.15,0.00144125
2015-02-25,4967.14,-0.98,-0.000197258
2015-02-26,4987.89,20.75,0.004177454
