Date, DJIA_Close,DJIA_Change,DJIA_pct_Change, Close,NDAQ_Change,NDAQ_pct_Change
2013-02-01,14009.79,0,0,3179.1,0,0
2013-02-04,13880.08,-129.71,-0.925852565,3131.17,-47.93,-0.015076594
2013-02-05,13979.3,99.22,0.714837378,3171.58,40.41,0.012905719
2013-02-06,13986.52,7.22,0.051647794,3168.48,-3.1,-0.000977431
2013-02-07,13944.05,-42.47,-0.303649514,3165.13,-3.35,-0.001057289
2013-02-08,13992.97,48.92,0.350830641,3193.87,28.74,0.009080196
2013-02-11,13971.24,-21.73,-0.155292265,3192,-1.87,-0.000585497
2013-02-12,14018.7,47.46,0.339697836,3186.49,-5.51,-0.00172619
2013-02-13,13982.91,-35.79,-0.255301847,3196.88,10.39,0.003260641
2013-02-14,13973.39,-9.52,-0.06808311,3198.66,1.78,0.000556793
2013-02-15,13981.76,8.37,0.059899566,3192.03,-6.63,-0.002072743
2013-02-19,14035.67,53.91,0.385573776,3213.59,21.56,0.006754322
2013-02-20,13927.54,-108.13,-0.770394288,3164.41,-49.18,-0.015303757
2013-02-21,13880.62,-46.92,-0.336886485,3131.49,-32.92,-0.010403203
2013-02-22,14000.57,119.95,0.864154483,3161.82,30.33,0.009685485
2013-02-25,13784.17,-216.4,-1.545651356,3116.25,-45.57,-0.014412585
2013-02-26,13900.13,115.96,0.84125486,3129.65,13.4,0.00430004
2013-02-27,14075.37,175.24,1.260707634,3162.26,32.61,0.010419695
2013-02-28,14054.49,-20.88,-0.148344235,3160.19,-2.07,-0.000654595
2013-03-01,14089.66,35.17,0.250240315,3169.74,9.55,0.00302197
2013-03-04,14127.82,38.16,0.270836912,3182.03,12.29,0.00387729
2013-03-05,14253.77,125.95,0.891503431,3224.13,42.1,0.013230548
2013-03-06,14296.24,42.47,0.29795626,3222.37,-1.76,-0.000545884
2013-03-07,14329.49,33.25,0.232578636,3232.09,9.72,0.003016413
2013-03-08,14397.07,67.58,0.471614831,3244.37,12.28,0.003799399
2013-03-11,14447.29,50.22,0.348820975,3252.87,8.5,0.002619923
2013-03-12,14450.06,2.77,0.019173146,3242.32,-10.55,-0.00324329
2013-03-13,14455.28,5.22,0.036124417,3245.12,2.8,0.000863579
2013-03-14,14539.14,83.86,0.580134041,3258.93,13.81,0.004255621
2013-03-15,14514.11,-25.03,-0.172155987,3249.07,-9.86,-0.003025533
2013-03-18,14452.06,-62.05,-0.427515018,3237.59,-11.48,-0.003533319
2013-03-19,14455.82,3.76,0.026017052,3229.1,-8.49,-0.002622321
2013-03-20,14511.73,55.91,0.386764639,3254.19,25.09,0.007769967
2013-03-21,14421.49,-90.24,-0.621841779,3222.6,-31.59,-0.009707485
2013-03-22,14512.03,90.54,0.627813076,3245,22.4,0.006950909
2013-03-25,14447.75,-64.28,-0.442942855,3235.3,-9.7,-0.002989214
2013-03-26,14559.65,111.9,0.774515063,3252.48,17.18,0.005310172
2013-03-27,14526.16,-33.49,-0.230019266,3256.52,4.04,0.001242129
2013-03-28,14578.54,52.38,0.360590824,3267.52,11,0.003377839
2013-04-01,14572.85,-5.69,-0.039029971,3239.17,-28.35,-0.008676305
2013-04-02,14662.01,89.16,0.61182267,3254.86,15.69,0.004843833
2013-04-03,14550.35,-111.66,-0.761559977,3218.6,-36.26,-0.011140264
2013-04-04,14606.11,55.76,0.383221022,3224.98,6.38,0.001982228
2013-04-05,14565.25,-40.86,-0.279745942,3203.86,-21.12,-0.006548878
2013-04-08,14613.48,48.23,0.331130602,3222.25,18.39,0.005739951
2013-04-09,14673.46,59.98,0.410442961,3237.86,15.61,0.004844441
2013-04-10,14802.24,128.78,0.877638948,3297.25,59.39,0.018342362
2013-04-11,14865.14,62.9,0.424935685,3300.16,2.91,0.000882554
2013-04-12,14865.06,-0.08,-0.000538172,3294.95,-5.21,-0.001578711
2013-04-15,14599.2,-265.86,-1.788489249,3216.49,-78.46,-0.023812197
2013-04-16,14756.78,157.58,1.079374212,3264.63,48.14,0.014966625
2013-04-17,14618.59,-138.19,-0.936450906,3204.67,-59.96,-0.018366553
2013-04-18,14537.14,-81.45,-0.557167278,3166.36,-38.31,-0.011954429
2013-04-19,14547.51,10.37,0.071334527,3206.06,39.7,0.012538056
2013-04-22,14567.17,19.66,0.135143403,3233.55,27.49,0.008574387
2013-04-23,14719.46,152.29,1.045432984,3269.33,35.78,0.011065238
2013-04-24,14676.3,-43.16,-0.293217278,3269.65,0.32,9.78794E-05
2013-04-25,14700.8,24.5,0.166935808,3289.99,20.34,0.006220849
2013-04-26,14712.55,11.75,0.079927623,3279.26,-10.73,-0.003261408
2013-04-29,14818.75,106.2,0.721832721,3307.02,27.76,0.008465324
2013-04-30,14839.8,21.05,0.142049768,3328.79,21.77,0.006582966
2013-05-01,14700.95,-138.85,-0.93565951,3299.13,-29.66,-0.008910145
2013-05-02,14831.58,130.63,0.88858203,3340.62,41.49,0.012576043
2013-05-03,14973.96,142.38,0.95997864,3378.63,38.01,0.011378127
2013-05-06,14968.89,-5.07,-0.033858779,3392.97,14.34,0.004244324
2013-05-07,15056.2,87.31,0.583276382,3396.63,3.66,0.001078701
2013-05-08,15105.12,48.92,0.324915981,3413.27,16.64,0.004898973
2013-05-09,15082.62,-22.5,-0.148956116,3409.17,-4.1,-0.001201194
2013-05-10,15118.49,35.87,0.237823402,3436.58,27.41,0.00804008
2013-05-13,15091.68,-26.81,-0.177332525,3438.79,2.21,0.000643081
2013-05-14,15215.25,123.57,0.818795522,3462.61,23.82,0.006926855
2013-05-15,15275.69,60.44,0.397233039,3471.62,9.01,0.002602083
2013-05-16,15233.22,-42.47,-0.278023448,3465.24,-6.38,-0.001837759
2013-05-17,15354.4,121.18,0.79549826,3498.97,33.73,0.009733814
2013-05-20,15335.28,-19.12,-0.124524566,3496.43,-2.54,-0.000725928
2013-05-21,15387.58,52.3,0.341043659,3502.12,5.69,0.001627374
2013-05-22,15307.17,-80.41,-0.522564302,3463.3,-38.82,-0.011084714
2013-05-23,15294.5,-12.67,-0.082771668,3459.42,-3.88,-0.001120319
2013-05-24,15303.1,8.6,0.056229363,3459.14,-0.28,-8.09384E-05
2013-05-28,15409.39,106.29,0.694565153,3488.89,29.75,0.008600404
2013-05-29,15302.8,-106.59,-0.691721087,3467.52,-21.37,-0.006125157
2013-05-30,15324.53,21.73,0.142000157,3491.3,23.78,0.006857927
2013-05-31,15115.57,-208.96,-1.363565473,3455.91,-35.39,-0.010136625
2013-06-03,15254.03,138.46,0.916009122,3465.37,9.46,0.00273734
2013-06-04,15177.54,-76.49,-0.501441258,3445.26,-20.11,-0.005803132
2013-06-05,14960.59,-216.95,-1.42941478,3401.48,-43.78,-0.012707314
2013-06-06,15040.62,80.03,0.534938796,3424.05,22.57,0.006635347
2013-06-07,15248.12,207.5,1.379597384,3469.22,45.17,0.01319198
2013-06-10,15238.59,-9.53,-0.062499508,3473.77,4.55,0.001311534
2013-06-11,15122.02,-116.57,-0.764965788,3436.95,-36.82,-0.010599435
2013-06-12,14995.23,-126.79,-0.838446186,3400.43,-36.52,-0.0106257
2013-06-13,15176.08,180.85,1.206050191,3445.37,44.94,0.013215976
2013-06-14,15070.18,-105.9,-0.697808657,3423.56,-21.81,-0.006330234
2013-06-17,15179.85,109.67,0.727728534,3452.13,28.57,0.008345114
2013-06-18,15318.23,138.38,0.911603211,3482.18,30.05,0.008704771
2013-06-19,15112.19,-206.04,-1.345064018,3443.2,-38.98,-0.011194137
2013-06-20,14758.32,-353.87,-2.34161958,3364.63,-78.57,-0.022818889
2013-06-21,14799.4,41.08,0.278351465,3357.25,-7.38,-0.002193406
2013-06-24,14659.56,-139.84,-0.944903172,3320.76,-36.49,-0.010869015
2013-06-25,14760.31,100.75,0.687264829,3347.89,27.13,0.008169817
2013-06-26,14910.14,149.83,1.015087082,3376.22,28.33,0.008462046
2013-06-27,15024.49,114.35,0.766927742,3401.86,25.64,0.007594292
2013-06-28,14909.6,-114.89,-0.764684858,3403.25,1.39,0.0004086
2013-07-01,14974.96,65.36,0.438375275,3434.49,31.24,0.009179461
2013-07-02,14932.41,-42.55,-0.284140993,3433.4,-1.09,-0.000317369
2013-07-03,14988.55,56.14,0.375960746,3443.67,10.27,0.002991204
2013-07-05,15135.84,147.29,0.982683448,3479.38,35.71,0.010369751
2013-07-08,15224.69,88.85,0.587017305,3484.83,5.45,0.001566371
2013-07-09,15300.34,75.65,0.496890249,3504.26,19.43,0.005575595
2013-07-10,15291.66,-8.68,-0.056730765,3520.76,16.5,0.004708555
2013-07-11,15460.92,169.26,1.106877867,3578.3,57.54,0.016343062
2013-07-12,15464.3,3.38,0.021861571,3600.08,21.78,0.006086689
2013-07-15,15484.26,19.96,0.129071474,3607.49,7.41,0.002058288
2013-07-16,15451.85,-32.41,-0.209309324,3598.5,-8.99,-0.002492037
2013-07-17,15470.52,18.67,0.120826956,3610,11.5,0.003195776
2013-07-18,15548.54,78.02,0.504314011,3611.28,1.28,0.000354571
2013-07-19,15543.74,-4.8,-0.030871066,3587.61,-23.67,-0.006554463
2013-07-22,15545.55,1.81,0.011644559,3600.39,12.78,0.00356226
2013-07-23,15567.74,22.19,0.142741814,3579.27,-21.12,-0.005866031
2013-07-24,15542.24,-25.5,-0.163800269,3579.6,0.33,9.21976E-05
2013-07-25,15555.61,13.37,0.086023636,3605.19,25.59,0.007148843
2013-07-26,15558.83,3.22,0.020699928,3613.16,7.97,0.002210702
2013-07-29,15521.97,-36.86,-0.236907274,3599.14,-14.02,-0.00388026
2013-07-30,15520.59,-1.38,-0.008890624,3616.47,17.33,0.004815039
2013-07-31,15499.54,-21.05,-0.135626287,3626.37,9.9,0.002737476
2013-08-01,15628.02,128.48,0.828927826,3675.74,49.37,0.013614165
2013-08-02,15658.36,30.34,0.194138477,3689.59,13.85,0.003767949
2013-08-05,15612.13,-46.23,-0.295241647,3692.95,3.36,0.00091067
2013-08-06,15518.74,-93.39,-0.598188716,3665.77,-27.18,-0.00735997
2013-08-07,15470.67,-48.07,-0.309754529,3654.01,-11.76,-0.003208057
2013-08-08,15498.32,27.65,0.178725291,3669.12,15.11,0.004135183
2013-08-09,15425.51,-72.81,-0.469792855,3660.11,-9.01,-0.00245563
2013-08-12,15419.68,-5.83,-0.037794536,3669.95,9.84,0.002688444
2013-08-13,15451.01,31.33,0.203181908,3684.44,14.49,0.003948283
2013-08-14,15337.66,-113.35,-0.733609,3669.27,-15.17,-0.004117315
2013-08-15,15112.19,-225.47,-1.470041714,3606.12,-63.15,-0.017210508
2013-08-16,15081.47,-30.72,-0.203279604,3602.78,-3.34,-0.000926203
2013-08-19,15010.74,-70.73,-0.468986113,3589.09,-13.69,-0.003799843
